dedup_id,title,authors,first_author,first_author_lastname,year,published_date,summary,doi,arxiv_id,journal_ref,source,relevance,category,sub_tags,url,arxiv_url,source_query
doi:10.1109/ICUS66297.2025.11294262,A Trajectory Planning and Task Offloading Collaborative Optimization Method for Multi-UAV Assisted MEC,Bowen Zhu; Ran Zhang; Fubao Ma; Xirui Yang,Bowen Zhu,Zhu,2025,2025-09-18,"In multi Unmanned Aerial Vehicle (UAV) assisted Mobile Edge Computing (MEC) systems, there are difficulties in balancing user coverage, task delay, and energy consumption for collaborative trajectory planning and task offloading. To address these problems, a collaborative optimization method based on improved Multi-Agent Twin Delayed Deep Deterministic Policy Gradient (MATD3) algorithm is proposed in this research. This method models the system’s complex interactions as a Multi-agent Markov Decision Process (MMDP), and designs an enhanced state representation integrating service association matrices, to enhance the fine-grained perception capability of UAVs towards service topology. Besides, a global reward mechanism based on system-level pheromone signals is constructed to organically integrate multiple objectives such as coverage, delay, energy consumption and flight safety, guiding multi-UAV to efficiently learn collaborative decision-making strategies. Experimental results show tha",10.1109/ICUS66297.2025.11294262,,2025 IEEE International Conference on Unmanned Systems (ICUS),Semantic Scholar,medium,Multi-Agent-Coordination,uav trajectory optimization multi-agent,https://doi.org/10.1109/ICUS66297.2025.11294262,,multi-UAV collaborative perception edge
doi:10.1109/CCPQT66408.2025.11383452,"Green Multi-Agent Collaborative Networking with Integrated Sensing, Communication, and Computing: A Reinforcement Learning Approach",Yuzheng Ren; Junfeng Nie; Liuqi Fan; Xueyan Cao; Chunlei Sun,Yuzheng Ren,Ren,2025,2025-10-24,"The convergence of the internet of things and artificial intelligence is pushing networked systems toward collaborative operation, in which sensing, communication, and computing must be coordinated under dynamic conditions. Edge and mobile devices face tight energy budgets as well as nonstationary wireless rates and computing capacity, calling for energy-aware designs that ensure feasibility in each time slot and low latency. We study cooperative offloading and execution in unmanned aerial vehicle (UAV) swarms with mobile edge computing (MEC). Our approach captures the coupling among queueing, latency, and energy, supports cooperation within the same time slot, treats wireless resources as exogenous outcomes of lower layer scheduling, enforces a total mobile edge computing budget, and employs fixed cooperative routing. We formulate the problem as a centralized Markov decision process (MDP) in which a single centralized policy outputs a tripartite allocation for each UAV across local pr",10.1109/CCPQT66408.2025.11383452,,"2025 IEEE 4th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)",Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/CCPQT66408.2025.11383452,,multi-UAV collaborative perception edge
doi:10.3390/rs17142427,ES-Net Empowers Forest Disturbance Monitoring: Edge–Semantic Collaborative Network for Canopy Gap Mapping,Yutong Wang; Zhang Zhang; Jisheng Xia; Fei Zhao; Pinliang Dong,Yutong Wang,Wang,2025,2025-07-12,"Canopy gaps are vital microhabitats for forest carbon cycling and species regeneration, whose accurate extraction is crucial for ecological modeling and smart forestry. However, traditional monitoring methods have notable limitations: ground-based measurements are inefficient; remote-sensing interpretation is susceptible to terrain and spectral interference; and traditional algorithms exhibit an insufficient feature representation capability. Aiming at overcoming the bottleneck issues of canopy gap identification in mountainous forest regions, we constructed a multi-task deep learning model (ES-Net) integrating an edge–semantic collaborative perception mechanism. First, a refined sample library containing multi-scale interference features was constructed, which included 2808 annotated UAV images. Based on this, a dual-branch feature interaction architecture was designed. A cross-layer attention mechanism was embedded in the semantic segmentation module (SSM) to enhance the discriminati",10.3390/rs17142427,,Remote Sensing,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.3390/rs17142427,,multi-UAV collaborative perception edge
doi:10.3390/drones9110755,Edge-Intelligence-Driven Cooperative Control Framework for Heterogeneous Unmanned Aerial and Surface Vehicles in Complex Maritime Environments,Jingfeng Yang; Lingling Zhao; Bo Peng,Jingfeng Yang,Yang,2025,2025-10-31,"With the increasing deployment of unmanned systems in maritime patrol, coastal monitoring, and environmental mapping, achieving effective UAV-USV collaboration in dynamic environments remains challenging. This paper proposes an edge-intelligence-driven collaborative control framework that integrates unified data modeling, multi-objective task scheduling, lightweight fault-tolerant middleware, and multi-sensor fusion. A Weighted Kalman Filter combines UAV imaging and USV sonar data to enhance perception accuracy, while NSGA-II optimizes task allocation considering completion time, energy consumption, and sensing reliability. The framework was validated through representative maritime scenarios, including patrol and coastal sediment mapping, on a virtual simulation platform. Results show improved task efficiency, energy utilization, communication latency, and robustness compared with single-platform and centralized scheduling approaches. The proposed method provides a balanced optimizati",10.3390/drones9110755,,Drones,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.3390/drones9110755,,multi-UAV collaborative perception edge
doi:10.1109/JIOT.2025.3566670,MCDS: An Effective Multi-UAV Collaborative Decision-Making System in Mobile-Edge Computing Networks,Neal N. Xiong; Weiyu Zhong; Yuxiang Chen; Dacheng He; Yuhui Li; Linshu Chen; Wei Liang,Neal N. Xiong,Xiong,2025,2025-08-01,"Mobile-edge computing (MEC) pushes computing resources from the network center to the network edge to provide efficient and reliable computing services. However, due to the mobility and diversity of mobile users (MUs), edge servers (ESs) are likely to be overloaded, which leads to a rapid decline in the quality of service provided by the MEC system. This article introduces unmanned aerial vehicles (UAVs) to solve the problem of ES overload. This article presents an effective multi-UAV collaborative decision-making system (MCDS) tailored to optimize task offloading and resource allocation in MEC networks. The proposed system seeks to reduce task computing delays and energy consumption while guaranteeing timely task completion and compliance with resource constraints. We design a distributed two-stage optimization algorithm to jointly optimize the task offloading decision and resource allocation of the collaborative computing system (UAVs, ESs, and MUs). To address the flight cooperation",10.1109/JIOT.2025.3566670,,IEEE Internet of Things Journal,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/JIOT.2025.3566670,,multi-UAV collaborative perception edge
doi:10.1109/JIOT.2025.3577487,EP-MUSTO: Entropy-Enhanced DRL-Based Task Offloading in Secure Multi-UAV-Assisted Collaborative Edge Computing,Longxin Zhang; Runti Tan; Buqing Cao; Lihua Ai; Kenli Li; Keqin Li,Longxin Zhang,Zhang,2025,2025-08-15,"Unmanned aerial vehicles (UAVs)-assisted edge computing has emerged as an effective solution for providing contingency task offloading (TO) services when ground computing infrastructures are insufficient. However, UAVs face challenges in implementing efficient task offloading strategies due to their limited capabilities and the complexity of the privacy offloading problem. To address these challenges, this study constructs a digital twin (DT)-enabled UAV swarm-assisted secure computing model, which considers collaboration of devices, edges, and cloud resources. The model is designed to represent the three-tier computing environment as a DT virtual framework, allowing for the monitoring of network changes and the exploration of potential strategies. Furthermore, a joint optimization problem that considers time delay and energy consumption within encryption and decryption costs is formulated. To solve this problem, an entropy-enhanced proximal policy optimization-based multi-UAV assisted",10.1109/JIOT.2025.3577487,,IEEE Internet of Things Journal,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/JIOT.2025.3577487,,multi-UAV collaborative perception edge
doi:10.1109/JIOT.2024.3492953,Resource Allocation and Trajectory Optimization in Multi-UAV Collaborative Vehicular Networks: An Extended Multiagent DRL Approach,Wenqian Zhang; Lu Tan; Tao Huang; Xiaowen Huang; Mengting Huang; Guanglin Zhang,Wenqian Zhang,Zhang,2025,2025-04-15,"In vehicular networks enhanced by uncrewed aerial vehicles (UAVs), vehicle state information is efficiently collected, and traffic safety is assured. UAVs, serving as aerial base stations, enable vehicle network access and provide edge computing services in the absence of roadside units (RSUs). This study explores a multi-UAV-assisted vehicular network, where multiple UAVs collaboratively offer services to vehicles. The goal is to minimize task completion time by optimizing trajectory planning, spectrum resource allocation, and dynamic data offloading. An enhanced multiagent deep deterministic policy gradient (MADDPG) algorithm is introduced to address the optimization challenge in cooperative multi-UAV scenarios. Within this framework, each UAV, acting as an agent, devises strategies for movement, data offloading, and resource allocation based on the current states of vehicles and fellow UAVs. The simulation results reveal that the proposed algorithm improves task completion efficienc",10.1109/JIOT.2024.3492953,,IEEE Internet of Things Journal,Semantic Scholar,medium,UAV-Resource-Allocation,uav resource allocation trajectory optimization,https://doi.org/10.1109/JIOT.2024.3492953,,multi-UAV collaborative perception edge
doi:10.1109/ICAACE69793.2026.11509077,Multi-UAV Dynamic Target search Scheme by a Novel SCA-MAPPO Algorithm,Huanli Gao; Yundan Qiu; Ying Huang,Huanli Gao,Gao,2026,2026-03-20,,10.1109/ICAACE69793.2026.11509077,,2026 9th International Conference on Advanced Algorithms and Control Engineering (ICAACE),Semantic Scholar,low,Uncategorized,,https://doi.org/10.1109/ICAACE69793.2026.11509077,,UAV semantic communication cooperative
doi:10.1109/ICCT67417.2025.11374093,Mission-Oriented UAV Relay Deployment: Ensuring Reliability in Multi-Task Networks,Yuanyao Li; Jinghong Sun; Wenbin Guo,Yuanyao Li,Li,2025,2025-10-16,"Unmanned aerial vehicle (UAV) networks have enabled flexible deployment for diverse tactical missions, showing promising potential. In this paper, we address the critical challenge of reliable relay drone placement in mission-oriented UAV networks operating in dynamic environments, focusing on the joint relay deployment and topology optimization problem to maximize mission reliability under critical constraints including minimum inter-drone safety distances and network reliability. Towards this end, we develop a novel reliability assessment framework and propose an optimized deployment algorithm to ensure robust connectivity between the base station and task-performing UAVs. Firstly, we develop a novel reliability assessment framework based on path-weighted structural entropy, which quantifies network robustness using Markov-derived node accessibility probabilities, avoiding computational bottlenecks of traditional methods. Then, we propose an optimized deployment algorithm leveraging ",10.1109/ICCT67417.2025.11374093,,2025 IEEE 25th International Conference on Communication Technology (ICCT),Semantic Scholar,low,Uncategorized,,https://doi.org/10.1109/ICCT67417.2025.11374093,,UAV task-oriented communication drone
doi:10.1109/jsen.2024.3494028,Task Demand-Oriented Collaborative Offloading and Deployment Strategy in Software-Defined UAV-Assisted Edge Networks,Junjie Yan; Wenli Wang; Jingxian Liu; Junyi Deng; Haohao Yuan; Yaxin Zhu,Junjie Yan,Yan,2025,2025-01-01,"Unmanned aerial vehicles (UAVs), which are a crucial element of the future air-space-ground integrated network, can serve as potential mobile edge computing (MEC) nodes due to their onboard capabilities for storage, communication, and computation. However, current UAV-assisted MEC collaborative offloading methods primarily focus on addressing network requirements for computing tasks, while neglecting the heterogeneity in task demands due to the heterogeneity of task types and UAV service types. To address this, we propose a task demand-oriented collaborative offloading and deployment strategy in software-defined UAV-assisted edge networks. Specifically, to enhance the cache utilization of UAVs, we introduce a software-defined UAV edge network (SD-UEN) architecture, which facilitates cooperation among UAVs under the guidance of a software-defined networking (SDN) controller. In light of the heterogeneity of task demands, we employ the Tabu search-based matching (TSM) algorithm to accura",10.1109/jsen.2024.3494028,,IEEE Sensors Journal,Semantic Scholar,low,Uncategorized,,https://doi.org/10.1109/jsen.2024.3494028,,UAV task-oriented communication drone
doi:10.65102/is2026994,Practical research on UAV Swarm based on SL/T860-2026 specification in long-distance embankment Project Normalized inspection,Lijun Jiang,Lijun Jiang,Jiang,2026,2026-04-30,"Long distance dike inspection requires full section coverage, high-frequency deployment, and reliable defect detection, while manual inspection and stand-alone operation are still limited by efficiency, continuity, and data consistency. Under the SL/T860-2026 framework, a UAV swarm inspection framework integrating multi-source perception, collaborative path planning, multi-source processing, improved detection and specification compliance evaluation is constructed. The system uses six VTOL fixed-wing Uavs, three multi-rotor Uavs, visible light imagery, thermal infrared data, lidar point clouds and synchronous positioning information to support the full section inspection of 72 km of the lede. A three-level cooperative track strategy and track adjustment based on backtracking search are introduced to maintain overlap, edge continuity and safe obstacle avoidance. Field test results show that the coverage integrity, data archipping and specification compliance verification reach 100%, a s",10.65102/is2026994,,Ingegneria Sismica,Semantic Scholar,low,Uncategorized,,https://doi.org/10.65102/is2026994,,multi-UAV collaborative perception edge
doi:10.1109/TWC.2024.3524275,MUL-VR: Multi-UAV Collaborative Layered Visual Perception and Transmission for Virtual Reality,Xiaowei Tang; Yi Huang; Yunmei Shi; Qingqing Wu,Xiaowei Tang,Tang,2025,2025-04-01,"Nowadays, unmanned aerial vehicles (UAVs) are deployed to perceive high-definition visuals of ground targets (GTs) for environment reconstruction of virtual reality (VR) by leveraging their high flexibility. Inspired by the classic scalable video coding method, we develop a novel multi-UAV collaborative layered visual perception and transmission scheme for VR named MUL-VR, wherein GTs are divided into multiple overlapped clusters and multiple UAVs are deployed to collaboratively perceive visuals from these clusters. Specifically, our proposed formulation entails maximizing user’s quality of experience (QoE) by optimizing cluster radii, UAV horizontal coordinates, and bandwidth allocation strategy subject to the constraints on visual quality, transmission delay and available bandwidth. To address this issue, we formulate the investigated MUL-VR scheme into an intractable optimization problem, which, however, is difficult to solve due to the non-convexity of the objective function and co",10.1109/TWC.2024.3524275,,IEEE Transactions on Wireless Communications,Semantic Scholar,low,Uncategorized,,https://doi.org/10.1109/TWC.2024.3524275,,multi-UAV collaborative perception edge
